id,slug,type,is_a_coach,is_coach_of_the_month,is_featured,is_active,focus_tags,style_tags,coach_card_short_description,coach_short_bio,coach_long_bio,forum_thread_id,brand,coach_bands,coach_endorsements,coach_facebook,coach_instagram,coach_twitter,coach_tiktok,coach_youtube
31888,aaron-edgar,instructor,TRUE,FALSE,FALSE,TRUE,"Theory, Grooves, Fills, Creativity","Pop/Rock, Metal",Rhythmic Mastery,Aaron Edgar is a long-time Drumeo instructor and author who specializes in advanced rhythms and progressive music.,"Aaron Edgar is a long-time Drumeo instructor who specializes in advanced rhythms and progressive music. He is the drummer for Third Ion, a Canadian Prog Metal Super Group with members from Devin Townsend Project, Mother Mother, Into Eternity and Annihilator. His book, Progressive Drumming Essentials is one of the most adventurous texts on advanced rhythm theory.",,drumeo,Third Ion,"Sonor Drums, Sabian Cymbals, Evans Drumheads, Vater Drumsticks, Low Boy Custom Beaters",https://www.facebook.com/AaronEdgarDrum,https://www.instagram.com/aaronedgardrum/,https://twitter.com/AaronEdgarDrum,,https://www.youtube.com/c/aaronedgardrum
212788,aaron-spears,instructor,TRUE,FALSE,FALSE,TRUE,"Groooves, Fills, Rudiments","Funk, Pop/Rock",,,,,,,,,,,,
236681,aric-improta,instructor,TRUE,FALSE,FALSE,TRUE,"Performance, Creativity","Pop/Rock, Metal",Unleash Your Creativity,Aric uses his original music projects (Night Verses & Fever333) to deliver his creativity to audiences around the world.,"Aric Improta is pushing the boundaries of drum performances. Look no further than his exhilarating backflips mid drum solo in front of thousands of screaming fans.<br><br>A dedicated artist, Aric uses his original music projects (Night Verses & Fever333) to deliver sensational visual performances to the masses.<br><br>And now he’s here to help you think outside the box with your drumming and question the implied “rules” that might be holding you back from your next creative breakthrough. Aric received the Viola Smith award at the 2021 Drumeo Awards.",,drumeo,"Fever333, Night Verses","Tama Drums, Meinl Cymbals, Remo Drumheads, Vic Firth Drumsticks, Roland, GoPro, Spinbal, Strymon, Fox Gear, DrumDial",https://www.facebook.com/AricImprotaDrums/,https://www.instagram.com/aricimprota/,https://twitter.com/aricimprota?lang=en,,https://www.youtube.com/user/aricimprota
31959,brandon-toews,instructor,TRUE,FALSE,FALSE,TRUE,"Grooves, Fills, Independence, Performance","Pop/Rock, Jazz, CCM/Worship",Learn Famous Drum Parts,Brandon Toews is the author of The Drummer’s Toolbox and The Best Beginner Drum Book.,"Brandon Toews is an author, educator, and performer based out of Vancouver, Canada. He is the author of The Drummer’s Toolbox and the co-author of The Best Beginner Drum Book.<br><br>Brandon acquired his Bachelor of Music degree in Jazz and Contemporary Popular Music from MacEwan University in Edmonton, Canada, with a major in Music Performance, and studied with notable educators and performers including Jared Falk (Drumeo), Colin Stranahan (Jonathan Kreisberg; Kurt Rosenwinkel), and Brian Thurgood (Edmonton Symphony Orchestra; MacEwan University). He has also been creating and producing educational content for Drumeo since 2015.",,drumeo,Independent,"Gretsch Drums, Istanbul Agop Cymbals, Vic Firth Drumsticks, Evans Drumheads, Snareweight, Low Boy Custom Beaters",https://www.facebook.com/brandon.toews.drums,https://www.instagram.com/brandon.toews/,,https://www.tiktok.com/@brandon.toews?,https://www.youtube.com/c/BrandonToews
31877,dave-atkinson,instructor,TRUE,FALSE,FALSE,TRUE,"Hands, Feet, Theory",Pop/Rock,Rock Beats & Grooves,"Drummer for the Canadian rock band YUCA, Dave Atkinson is one of our most popular instructors.","Drummer for the Canadian rock band YUCA, Dave Atkinson is one of our most popular instructors. Teaching for over eight years now, he has helped thousands of students reach their goals through FreeDrumLessons.com, DrumLessons.com, and the instructional programs “Drum Play-Along System” and “Bass Drum Secrets”. A precise double-bass drummer and practice-pad lover, Dave brings a fresh outlook to the world of education through his hybrid teaching style - combining the best that formal training has to offer with the creativity and resourcefulness of a self-taught drummer.",,drumeo,Independent,"Remo Drumheads, Vater Drumsticks",https://www.facebook.com/DaveAtkinsonDrummer,https://www.instagram.com/drumeodave/,,,
31980,dennis-chambers,instructor,TRUE,FALSE,FALSE,TRUE,Performance,"Funk, Jazz",Funk Mastery,"Dennis Chambers is a legendary, well respected American drummer who has recorded and performed with artists such as Santana, Steely Dan, Parliament/Funkadelic, John Scofield, Carl Filipiak, John McLaughlin, Niacin, Mike Stern, and many others.","Dennis Chambers is a legendary, well respected American drummer who has recorded and performed with artists such as Santana, Steely Dan, Parliament/Funkadelic, John Scofield, Carl Filipiak, John McLaughlin, Niacin, Mike Stern, and many others.<br><br>Dennis is mostly known for his ability to perform with impeccable and funky timing in whatever style he’s called upon to play, as well as his incredible, fast chops. He can play in a wide variety of musical genres, but is perhaps most noted for his jazz-fusion, funk, and Latin music playing.",,drumeo,"Parliament-Funkadelic, John Scofield, Santana","Pearl Drums, Zildjian Cymbals & Sticks, Evans Drumheads",https://www.facebook.com/dennischambersofficial,https://www.instagram.com/dennischambersofficial/,https://twitter.com/dennischambersm,,
273806,domino-santantonio,instructor,TRUE,FALSE,FALSE,TRUE,Performance,Pop/Rock,Your Guide To Pop,Domino Santantonio is a professional touring and studio drummer who was known primarily for her work with Quebec artist Roxane Bruneau until she became a viral sensation on TikTok. ,"Domino Santantonio took the world by storm in 2020. In less than a year, she amassed more than half a million TikTok followers by turning trending pop songs into infectious drum grooves.<br><br>When she’s not making viral TikTok videos, she’s touring with live pop acts and performing as a house drummer on nationally broadcast television shows.<br><br>She’s here to show you what the life of a pop drummer is like -- and to help you find YOUR spotlight.",,drumeo,Independent,"GEWA Drums, Paiste Cymbals, Beyerdynamic Microphones, Vic Firth Drumsticks",https://www.facebook.com/domino.santantonio,https://www.instagram.com/dominosantantonio/,https://twitter.com/santantoniofan?lang=en,https://www.tiktok.com/@dominosantantonio?,https://www.youtube.com/user/DominoDrum
234095,dorothea-taylor,instructor,TRUE,FALSE,FALSE,TRUE,"Hands, Drumline, Rudiments","Pop/Rock, Blues",Learn With Discipline,"Dorothea Taylor spent the majority of her drum career out of the spotlight teaching lessons to budding Michigan drum students. Now she's the ""Godmother of Drumming"" on TikTok!","Dorothea Taylor spent the majority of her drum career out of the spotlight teaching lessons to budding Michigan drum students.<br><br>That’s until she partnered with Drumeo to create a powerful viral video addressing societal expectations in drumming culture. She shocked audiences with her (un)surprising command of a hard-rock anthem, garnering millions of views in two days.<br><br>Get ready to hang with one of the internet’s most renowned drum instructors and strengthen your hands with Dorothea’s go-to drumline workouts.",,drumeo,Independent,"Tamburo Drums, Paiste Cymbals",,https://www.instagram.com/taylor.dorothea/?hl=en,https://twitter.com/dtdrummerlady,https://www.tiktok.com/@taylor.dorothea?lang=en,https://www.youtube.com/channel/UClmvcyymzBjHN-UZl-c7jWw
265267,greyson-nekrutman,instructor,TRUE,FALSE,FALSE,TRUE,"Grooves, Fills","Jazz, Latin",Big Band Drumming Essentials,Greyson Nekrutman has earned accolades by the National Association for Music as one of the top-performing high school jazz musicians in the United States.,"Greyson Nekrutman has earned accolades by the National Association for Music as one of the top-performing high school jazz musicians in the United States, and has been turning the heads of some of the world's biggest drum gear manufacturers like Vic Firth, Meinl and Pearl. Greyson is slowly but surely becoming a household name because of his incredible musicianship and social media presence, as well as work developed with Bakithi Kumalo and performances in various New York venues.",,drumeo,,"Pearl Drums, Meinl Cymbals, Vic Firth, Remo Drumheads",https://www.facebook.com/greynekrutman,https://www.instagram.com/greyson_nekrutman/?hl=en,,https://www.tiktok.com/@greyson_nekrutman?lang=en,https://www.youtube.com/c/GreysonNekrutmandrums
189973,hannah-welton,instructor,TRUE,FALSE,FALSE,TRUE,"Composition, Performance","Funk, Pop/Rock",Create The Perfect Drum Parts,Hannah Welton worked with Prince from 2012 to 2015 and was a member of his backing band 3RDEYEGIRL.,Hannah Welton was the drummer for Prince from 2012 to 2015. She was a member of Prince's backing band 3RDEYEGIRL and her drumming and vocals can be heard on the 2014 album PLECTRUMELECTRUM. She also performed live with Prince on his Live Out Loud and Hit And Run tours. ,,drumeo,Prince & 3RDEYEGIRL,"Gretsch Drums, Zildjian Cymbals, Evans Drumheads, Vater Sticks, Gibraltar Hardware, DW Pedals, Humes & Berg Cases, Toca Percussion, Kelly Shu, Cympad",https://www.facebook.com/hannahweltonfanpage/,https://www.instagram.com/hannahjwelton/?hl=en,https://twitter.com/hannahjwelton,https://www.tiktok.com/@hannahjwelton?,
