id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
349352,student-review,Singing Through An Open Shape - Debbiehoodiman,,Vowel Shapes,,,,,,Performance,
349353,student-review,Engaging Your Core - Nancy V,,Breath Support,,,,,,,
361858,student-review,Finding Natural Vibrato - Ogma,,Breath Support,,,,,,,
363829,student-review,Supporting Through A Range of Dynamics - P.Damien,,Breath Support,,,,,,,
363830,student-review,Determining Your Voice Type - Emily D,,Blender,,,,,,,
363831,student-review,Finding Head Voice - Claire,,Chest Puller,,,,,,,
363832,student-review,Neutralizing Larynx Position - Nigel P,,,,,,,,Performance,
363833,student-review,Singing With Energy - 404NameNotFound,,No Chest Voice,,,,,,Performance,
365102,student-review,Releasing Tension - Nathan Fjeld,,Chest Puller,Tension,,,,,,
365104,student-review,Finding Your Desired Tone - SenseiStorm,,Style,Pitch,,,,,Performance,
365108,student-review,Building A Strong Voice - DPatterson,,No Chest Voice,,,,,,,
365111,student-review,Singing High Notes With Power - Ogma,,Pitch,Vocal Range,,,,,,
365113,student-review,Finding Breath Support - Claire,,Breath Support,,,,,,,
365115,student-review,Playing With Dynamics - P.Damien,,Breath Support,Style,,,,,Performance,
365118,student-review,Diverting Tone From Nose to Mouth - Ogma,,Pitch,,,,,,,
365984,student-review,Blending With A Duet Partner - Lee & Ogma,,Pitch,,Rhythm,Harmony,,,Performance,
365987,student-review,Refining Pitch - Emily D,,Blender,Pitch,,,,,,
365990,student-review,Learning To Loosen Up - Sam Hb,,,,,,,,Performance,
365995,student-review,Finding A Connection To Chest Voice - Kattie,,No Chest Voice,Vowel Shapes,,,,,,
365996,student-review,Finding Access To Head Voice - K. Fox (Kelly),,Chest Puller,,,,,,,
365997,student-review,Connecting The Bottom Register - Grethel,,No Chest Voice,Vowel Shapes,,,,,,
365999,student-review,Singing Through Diphthongs - MaryH,,Breath Support,,,,,,,
366000,student-review,Working On Vocal Runs - Mitch M,,Blender,,,,Riffs & Runs,,,
366001,student-review,Refining Small Runs - Paul Green,,Chest Puller,,,,Riffs & Runs,,,
366002,student-review,Efficient Breath Support - Sarah T,,Breath Support,Vowel Shapes,,,,,,
366003,student-review,Finding Balance Throughout The Registers - Lupe,,Tension,,,,,,,
366005,student-review,Bringing The Tone Forward - Sue H,,Tension,,,,,,,
366012,student-review,Clear Diction On A Fast Song - Paulwithglasses,,Chest Puller,,,,,,Performance,
366016,student-review,Singing With Power - Iris E,,Breath Support,No Chest Voice,,,,,,
366018,student-review,Finding A Forward Placement - Tim Bondyra,,Chest Puller,Tension,,,,,,
366723,student-review,Reaching For Higher Notes - Terri P,,Breath Support,No Chest Voice,,,,,,
367445,student-review,Adapting To Unique Melodies And Style - Ogma,,Breath Support,Pitch,,,,,,
367447,student-review,Shaping Vowels For Confidence - Jody Mo,,,,Rhythm,,,,Performance,
367458,student-review,Balance Breath And Vocal Cord Closure - Mitch & Judi,,Breath Support,,,,,,,
367464,student-review,Finding And Refining The Connection - Wendy Endevoets,,Breath Support,,,,,,Performance,
367747,student-review,Expressing The Song - Brysonsethyoung,,Pitch,,,,,,Performance,
367750,student-review,Bridging The Transition - Mary Edwards,,No Chest Voice,,,,,,,
367753,student-review,Connecting With Movement - Sam Hb,,,,,,,,Performance,
367756,student-review,Focusing On Breath - Bonnie aka Twocupscoffee,,Breath Support,,,,,,Performance,
367761,student-review,Supplying Adequate Breath To Help Find Pitch - Seb Castro,,Breath Support,Pitch,,,,,,
367766,student-review,Supporting Pitch With Breath - Joseph Davissen,,Breath Support,Pitch,,,,,,
367769,student-review,Reaching The High Notes - Sshawaii,,Blender,,,,,,Performance,
367777,student-review,Narrowing In On A Phrase - Emily D,,Breath Support,,,,,,,
367780,student-review,Brightening The Sound - Ogma,,Pitch,,,,,,Performance,
368554,student-review,Adding Strength In Chest Voice - Ingrid Poulsen,,No Chest Voice,Vocal Range,,,,,,
368555,student-review,Bridging The Transition - Gumso,,Chest Puller,Flipper,,,,,,
368556,student-review,Managing Low Notes - Kathy Mandell,,Vocal Range,,,,,,,
368557,student-review,Holding Notes With Natural Vibrato - P.Damien,,Breath Support,,,,,,,
368558,student-review,Coaching Yourself Through Challenges - K. Fox (Kelly),,Chest Puller,,,,,,,
368559,student-review,Finding Balance Between Breath And Vocal Cords - Dino Giacobbe,,Breath Support,Pitch,,,,,,
368561,student-review,Releasing Tension - Lucky Dawg,,Breath Support,Chest Puller,,,,,,
368563,student-review,Building Balance - Paul With Glasses,,Blender,,,,,,,
368564,student-review,Balancing Connected Release - Mitch M,,Vocal Range,,,,,,,
368565,student-review,Recording Mic Technique - Nigel P,,,,,,,,Performance,
368566,student-review,Performing Live - John Frost Olympia Washington,,Breath Support,,,,,,Performance,
368580,student-review,Harmonizing With Pitch Accuracy - Ogma,,Pitch,,Harmony,,,,,
369455,student-review,Finishing Strong - MaryH,,Breath Support,Vowel Shapes,,,,,,
369457,student-review,Refining Pitch - Joseph Davissen,,Pitch,,,,,,,
369458,student-review,Skip The Flip - Dagmar B,,Flipper,No Chest Voice,,,,,,
369463,student-review,Finding The Right Key - Jocelynn Rodrigues,,Vocal Range,,,,,,,
369465,student-review,Release The Grip - Nadiadefoe,,Chest Puller,Vowel Shapes,,,,,,
369469,student-review,Sing It YOUR Way - Stefoforrest,,Style,,,,,,Performance,
369476,student-review,Exploring High Notes - Lasolucionw,,Chest Puller,Vocal Range,,,,,,
370398,student-review,Singing With Ease - Iris E,,No Chest Voice,,,,,,,
370409,student-review,Breathing Through Nervous Energy - JuliannLavallee,,Breath Support,Vocal Range,,,,,Performance,
370416,student-review,Getting Good Cord Closure - Sam Hb,,Breath Support,,,,,,,
370424,student-review,Balancing Chest Voice - Dagmar B,,No Chest Voice,Vowel Shapes,,,,,,
370428,student-review,Refining Your Performance With Style - Megan W,,Style,,Rhythm,,,,Performance,
371381,student-review,Increase Grit And Vocal Range - P.Damien,,Blender,Vocal Range,,,,,,
371382,student-review,The Road To Originality - Samson2090,,Style,,,,,,Performance,
371550,student-review,Checking In On Correct Exercise - Ogma,,Pitch,,,,,,Performance,
